nodes,layer
c_1010185,0
c_355461,0
c_278013,0
c_100976,0
c_1635,0
c_77250,0
c_161623,0
c_1421035,0
c_46727,0
c_1248154,0
c_345518,0
c_13767,0
c_14567,0
c_33272,0
c_164345,0
c_314262,0
c_124085,0
c_49201,0
c_111983,0
c_9886,0
c_336901,0
c_313964,0
c_425340,0
c_97630,0
c_10418,0
c_147885,0
c_360166,0
c_21784,0
c_5453,0
c_3156723,0
c_1020638,0
c_7891368,0
c_962438,0
c_1210501,0
c_934528,0
c_4165232,0
c_746902,0
c_1435126,0
c_36462,0
c_36333,0
c_5828,0
c_42832,0
c_5739041,0
c_8293,0
c_24306,0
c_236047,0
c_61140,0
c_1054034,0
c_333513,0
c_175208,0
c_9773791,0
c_11082783,0
c_862857,0
c_1563959,0
c_222357,0
c_355119,0
c_405979,0
c_161332,0
c_97845,0
c_182301,0
c_826587,0
c_10043,0
c_85848,0
c_241458,0
c_778667,0
c_52005,0
c_234638,0
c_587264,0
c_120936,0
c_19423,0
c_768661,0
c_54026,0
c_33979,0
c_242777,0
c_595596,0
c_142057,0
c_639284,0
c_731415,0
c_44590,0
c_28591,0
c_858352,0
c_14881,0
c_707151,0
c_277665,0
c_73367,0
c_991,0
c_625689,0
c_86732,0
c_564746,0
c_76447,0
c_5694708,0
c_10520,0
c_76137,0
c_850660,0
c_5827,0
c_37656,0
c_842965,0
c_204839,0
c_115998,0
c_6221,0
c_1178843,0
c_1491241,0
c_59713,0
c_2496929,0
c_133,0
c_575234,0
c_423487,0
c_561990,0
c_31469,0
c_106242,0
p_1447969,1
p_983872,1
p_940111,1
p_405195,1
p_257259,1
p_435634,1
p_1354052,1
p_2309091,1
p_298370,1
p_1867552,1
p_645950,1
p_986739,1
p_3142,1
p_1817404,1
p_971684,1
p_106623,1
p_12587847,1
p_195214,1
p_1019262,1
p_53793,1
p_521526,1
p_4101106,1
p_1374889,1
p_169160,1
p_163047,1
p_1686395,1
p_490589,1
p_197493,1
p_837209,1
p_12437762,1
p_58049801,1
p_19234434,1
p_133866,1
p_1378114,1
p_2996998,1
p_95526227,1
p_794659,1
p_152405,1
p_7057755,1
p_1360595,1
p_951680,1
p_47808,1
p_18466951,1
p_1724391,1
p_26571,1
p_2518034,1
p_18198646,1
p_2395488,1
p_118890,1
p_1689517,1
p_79525510,1
p_30629200,1
p_2510964,1
p_2668833,1
p_548803,1
p_48004296,1
p_580633,1
p_741705,1
p_26116053,1
p_2999,1
p_1944558,1
p_34215,1
p_27526,1
p_469378,1
p_852788,1
p_2357776,1
p_184935,1
p_501746,1
p_43662,1
p_62602,1
p_833466,1
p_1491590,1
p_2526344,1
p_34347681,1
p_515552,1
p_1108419,1
p_592509,1
p_1374500,1
p_12070,1
p_199077,1
p_1012085,1
p_61840,1
p_2556040,1
p_954185,1
p_31804444,1
p_133320,1
p_568438,1
p_302047,1
p_454468,1
p_1607499,1
p_12620462,1
p_1078218,1
p_296854,1
p_174946161,1
p_7241,1
p_535368,1
p_290855,1
p_347120,1
p_947443,1
p_1906452,1
p_2096364,1
p_2473642,1
p_31416,1
p_5190307,1
p_14,1
p_1642252,1
p_198202,1
p_979817,1
p_609739,1
p_98456,1
